[2024-08-05 11:14:11,991: INFO: main: welcome to our custom log]
[2024-08-05 11:15:59,294: INFO: main: welcome to our custom log]
[2024-08-05 13:10:04,994: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-05 13:10:04,996: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-05 13:14:08,688: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-05 13:14:08,691: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-05 13:14:08,695: INFO: common: created directory at: artifacts]
[2024-08-05 13:14:08,695: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-05 13:14:08,698: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-05 13:14:22,433: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-05 14:29:19,043: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-05 14:29:19,051: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-05 14:29:19,051: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-05 14:29:19,051: INFO: common: created directory at: artifacts]
[2024-08-05 14:29:19,051: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-05 14:29:19,051: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-05 14:29:28,748: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-05 14:29:29,147: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
